Contribution Evaluation,"PREPARATION PHASE
To understand the work that different people in ALANA go through we require template workflows. The following examples attempt to unravel the mysteries.",,,"ESTIMATION PHASE
Before initiating any work, we evaluate the scope, requirements, and expected outcomes. This evaluation includes scoring the project based on its reach, impact, and the effort required.",,,,"EXECUTION PHASE
This phase involves carrying out the tasks necessary for project completion. It requires effective coordination among team members to meet the set objectives.",,"FINAL RESULT
","REVIEW PHASE
Upon completing the work, we measure audience impact and distribute a bonus upon how the project impacts the real world/ audience reception.",,
Contribution Category,"ALANA REFERENCING BRANCH
Select the ALANA Branch your task belongs to",Small Workflow Description,Tools,"Reach
Number of people affected (summarizing current follower amount on social media divided by the different accounts provides a rough estimate)

For Procuts the actual number of consumers will be another additional indicator if >= 100 people","Impact on an organizational Level
3 = massive
2 = high impact
1 = medium impact
0.5 = low impact
0.25 = minimal impact","Impact on a customer Level
3 = massive
2 = high impact
1 = medium impact
0.5 = low impact
0.25 = minimal impact","Battery Life Bar
Imagine a battery and decide how much of that battery gets drained to perform the task at hand.

XS  = 1 - 10P in %
S   = 11 - 30P in %
M   = 31 - 50P in %
L   = 51 - 70P in %
XL  = 71 - 90P in %
XXL = 91 - 100P in %

The user needs to input this personally and the Nucleus Guardian would have the ability to adjust this one value only.","Alignment and Quality Control (estimate)
Alignment = On-brand delivery which means delivering a concept that is recognizable and propels the ALANA brand vision as well as its according visuals!

Quality = in comparison to similar products/ spectrum of comparable products out there

poor = 0 - 29% 
fair quality = 30 - 49%
good = 50 - 64%
very good = 65 - 84%
excellent = 85 - 100%

The user needs to input this personally and the Nucleus Guardian would have the ability to adjust this one value only.","Interim Result
Final XP Result takes the total ranking/ influence under perspective:

Infrastructure & Strategy = Rank 7
Onboarding = Rank 6
Brand Identity & Socials = Rank 5
----------------------
ALANAmagazine = Rank 4
ALANA's Boutique = Rank 4
ALANA's World = Rank 4
ALANA AI = Rank 4","AVERAGE MULTIPLIER
Add if a task is done more than once to fit the calculation. If a task is repeated, not every task will require the same amount of effort in a series. Hence, we call it ""average multiplier."" These are the available multipliers:

1-5   Repetitions = *3
6-10  Repetitions = *5
11-20 Repetitions = *8
> 20  Repetitions = *13","Tipping Bonus
Rewarding work that has been better than expected. The default option is not getting a bonus. 

0%  = No Tip
5%  = Small Tip
15% = Medium Tip
20% = Big Tip
25% = Huge Tip","Final Result Evaluation
Interim Result * Tipping Bonus (if applicable)",
Nucleus Guardian Duties (monthly),Infrastructure & Strategy,"What does it take to lead as a Nucleus Guardian in The ALANA Project?
- Managing and leading with compassion and as a guide toward the dedicated team
- Organizing weekly and exceptional meetings when and if necessary
- Reviewing and improving tasks on DeWork for their team
- Responsibility for team members and their dedicated area
- Foresight when it comes to team management along ALANA's 10 Principles of a Good Community
","What tools are required?
- Access to Discord
- Access to Google Sheets
- Access to Milanote
- Access to Figma/ Canva","1,453",3,0.25,25.00%,85.00%,702,702,,,
"Writing a Grant Proposal

* Example calculation based on the Optimism Grant","Infrastructure & Strategy, FABA Studio","What does it take to write a grant proposal?
- Define the objective, purpose and proposed solution of the grant proposal
- Evaluate value alignment with the potential grant giver
- Research and gathering information on how to write the grant
- Network building in the grant giver community
- Coordination with the Branding Team
- Refined pitch for your proposed project 
- Following procedure to hand in the grant proposal to the grant giver","What tools are required?
- Access to Discord
- Access to Google Sheets
- Access to Figma/ Canva","1,453",2.5,1.5,60.00%,80.00%,"1,953","1,953",0,"1,953",
"Writing and submitting a DAO Proposal 

* Example calculation based on the Nucleus Guardian role description","Infrastructure & Strategy, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld, Onboarding, Brand Identity & Socials","What does it take to write and submit a DAO Proposal?
- Investigation in the dedicated proposal topic (can be technical, require work with third parties, purely investigative, etc...)
- Open up a new conversation thread in the DAC Discussions channels. 
- Create a new template and fill in all the data as seen in former examples.
- Involve other people from your dedicated branch and wider community to create a proposal that will meet the quorum by utilizing the formerly mentioned communication channel.
- If necessary build working groups.
- Finally, post the finished proposal on Discord/ Snapshot and bring attention to it by communicating the active proposal.
- Implementing a DAO Proposal is another task and can look very unique depending on what is being proposed!","What tools are required?
- Access to Discord
- Access to Google Sheets
- Access to Snapshot (if applicable)","1,453",2,1,70.00%,75.00%,"1,602","1,602",0,"1,602",
"Management of Legal Protection for ALANA

* Example calculation based on Terms & Conditions around ALANAmagazine submissions",Infrastructure & Strategy,"What does it take to write drafts around legal protection for ALANA and the different branches and coordinate those with our lawyers?
- Review existing community rights laws and frameworks.
- Identify and conduct more profound research on the legal issues at hand that need solving or protection.
- Inform yourself about relevant local, state, and federal regulations, considering where ALANA is incorporated.
- Outline the main sections of legal protection needed by writing an initial draft for the issue at hand.
- Reach out to an ALANA lawyer and introduce the issue as well as sending your draft.
- Schedule a meeting with an ALANA lawyer to discuss potential adjustments and finalizations of the draft.
- Refine the final draft with the lawyer, ensure alignment with existing laws and regulations, and strengthen language to maximize legal protection.
- Present draft legal documents to community members for input and do another feedback loop if required.
- Implement the new legal draft on the platforms or public forums where needed.","What tools are required?
- Access to Google Sheets
- Access to Zoom or similar
- Proficient language knowledge in Spanish (ALANA is incorporated in Peru and bound to the local laws)","1,453",2.5,0.25,50.00%,90.00%,"1,259","1,259",,,
Organizational/ Structural Design,Infrastructure & Strategy,"What does it take to create/ maintain/ innovate on ALANA's organizational/ structural design?
- A general understanding of the existing structure
- A thorough analyzation of the current organization and its failing/ weak elements
- An inquiry with the DAO members about satisfaction/ dissatisfaction - a set of interviews or a questionnaire that identifies the needs for the community
- Definition of new roles or branches according the evaluated data points (polls, questionnaires, interviews, etc.)
- A clear definition of roles and/ or additional branches
- A clear argument for or against certain roles/ branches
- Establish clear expectations if new roles or branches are added
- Designing a flow in a visual format that bridges the gap from text to visual mind and clearly shows the benefits
- Create a DAO Proposal for the new strucutre in a text format supported by visual elements
- If the DAO proposal is accepted establish the changes to the ALANA organization onchain with HatsProtocol x Unlock Protocol
- Officially announce the changes and prepare according copy for it
- Help guide people towards the established changes (can be personal calls, public sessions like livestreams or answering questions in the chats)","What tools are required?
- Access to Discord
- Access to Figma
- Access to Google Sheets
- Access to HatsProtocol
","1,453",2.5,0.25,90.00%,90.00%,"2,266","2,266",0,"2,266",
"Implementing & Execute a succefull DAO Proposal

*Example calculation based on the Nucleus Guardian role description",Infrastructure & Strategy,"What does it take to implement and execute a successful DAO Proposal?
- An entry in the Gitbook or equivalent documentation platform if it matters to the overall organization
- Receive legal confirmation for the successful implementation
- Enact all suggested steps from the proposal to ensure succesful execution (can be many don't have to be)","What tools are required?
- Access to Gitbook or similar
- Access to Google Sheets
- Access to necessary secondary contact","1,453",2.5,0.25,30.00%,70.00%,587,587,0,,
"Research for  tools/ software

* Example calculation based on research on Fileverse, a blockchain based storage and distribution platform","Infrastructure & Strategy, ALANA AI","What does it take to research tools or software for the ALANA community?
- Identify a need
- Define requirements
- Consider constraints
- Evaluate competitive tools and measure them according to community needs
- Create a small presentation for the community and propose your elected tool or software
- Make sure to be clear on benefits and ""risks"" for the community and what the tool or software exactly will solve
- If consensus is reached, lead the implementation and testing phase
- If testing is successful, write up a piece of documentation that helps community members to engage
","What tools are required?
- Access to Word or similar
- Access to documentation","1,453",2.5,0.25,15.00%,90.00%,378,378,0,378,
"Financial Reporting for Products

* Example calculation based on ALANAmagazine","Infrastructure & Strategy, ALANAmagazine, ALANA AI, ALANAboutique, ALANAworld","What does it take to do Financial Reporting for ALANA Products?
- Gather product-specific financial data in collaboration with the relevant departments and extract from diverse data-collecting platforms
- Organize historical data and check for validity
- Create a product-specific income statement and develop a product balance sheet as well as a cash flow statement
- Perform financial analysis and forecasts
- Maintain a regular reporting schedule
- (Inform about regulatory compliance)
- Implement Internal Controls
- Publish financial information (according to legal entity) 
- Refine reporting processes
- Leverage innovative technologies to enhance the process","What tools are required?
- Google Sheets or similar
- Dework or similar
- Token Contract access
- Stripe","1,453",1.5,0.5,38.00%,75.00%,580,580,,,
Writing Interviews/ Feedback Initiatives,"Infrastructure & Strategy, ALANA AI","What does it take to write interviews and run feedback initiatives?
* Recommended reference: https://www.youtube.com/watch?v=f_tGpfXX2ww

- Research the interviewee and topic thoroughly
- Develop a list of key questions (open-ended, probing, follow-up)
- Coordinate an interview time
- Develop an incentive idea for the interviewee
- Create a logical structure for the interview consisting of an introduction (brief and purpose) and a question structure (start with broader questions to more specific ones)
- Practice active listening - allow for pauses and silences to give the interviewee time to think as well as maintain an organic flow
- Ensure the interviewee is really heard and consider final thoughts
- Review and organize your notes
- Identify key quotes and themes
- Evaluate and compare responses
- Structure the written piece in a compelling narrative format
- Suggest active resolutions from the provided feedback results","What tools are required?
- Access to Word or similar
- Access to a meeting coordination tool such as Calendly or Lettucemeet
- Access to a form designer tool like deform","1,453",2.5,0.5,30.00%,84.00%,769,769,0,769,
"Newsletter Writing

* Example calculation based on the current ALANA NewsFlash","Infrastructure & Strategy, ALANA AI","What does it take to write a newsletter for ALANA?
- Duplicate the template on Mailchimp
- Research in three different categories: LEARN, CREATE and BUILD
- Additional categories are announcements, events, resources and a creator feature
- Reach out to a creator and receive from them pictures, bio and links
- Add the graphic from the most recent mirror article 
- Write short content for each selected topic and link it
- Schedule the sending time
- (Automatic social distribution including dedicated graphics)","What tools are required?
- Mailchimp
- Photoshop or similar",200,0.25,2,45.00%,70.00%,99,99,0,99,
"Educational Article Writing + Social Media Content Writing

* Example calculation based on mirror.xyz articles","Infrastructure & Strategy, Onboarding, ALANA AI","What does it take to write an educational article?
We recommend following the 7 steps of ""The Art of Explanation"" by Ros Atkins as it leads to convincing results.
- Set-up:Ask the right questions about your audience and what exactly you want them to understand.
- Find the information: Gather initial information to understand the topic better and identify key points to cover
- Distil the information: Break it down to the most necessary parts of information needed and remind yourself of the original purpose of this article
- Organize the information: All information comes in sections, make sure the sections are ordered in a meaninful way to convey the core of your story 
- Link the information: Link the information for credibility and literally but also ensure it works in alignment with The ALANA Project brand and brand voice
- Tighten: Take a step away from your article and make sure you are using clear and simple examples to explain. This is like a last step over analyzation to make sure the content is delivered in the best way possible.
- Delivery: Create befitting visuals and deliver in multiple formats across ALANA's socials.","What tools are required?
- Google Sheets or similar
- Google Docs or similar
- AI Generator for images
- mirror.xyz access
- Social media accounts for outreach
 ","1,453",0.25,2,60.00%,80.00%,628,628,,,
